,Year,NOC,Participants,Event_count,Bronze,Silver,Gold,Total Medals,host,Total_Strength,Excellent_Athletes_Count,Consecutive_Medals_Count,Consecutive_Gold_Count,Total_Event
0,2000,AHO,7,8,0.0,0.0,0.0,0.0,1,0.8,0,0,0,300
1,2000,ALB,4,5,0.0,0.0,0.0,0.0,1,0.5,0,0,0,300
2,2000,ALG,47,42,3.0,1.0,1.0,5.0,1,15.0,5,0,0,300
3,2000,AND,5,5,0.0,0.0,0.0,0.0,1,0.5,0,0,0,300
4,2000,ANG,30,7,0.0,0.0,0.0,0.0,1,3.0,0,0,0,300
5,2000,ANT,3,4,0.0,0.0,0.0,0.0,1,0.4,0,0,0,300
6,2000,ARG,142,98,2.0,2.0,0.0,4.0,1,69.9,20,1,0,300
7,2000,ARM,25,26,1.0,0.0,0.0,1.0,1,3.5,1,0,0,300
8,2000,ARU,5,5,0.0,0.0,0.0,0.0,1,0.5,0,0,0,300
9,2000,ASA,4,4,0.0,0.0,0.0,0.0,1,0.4,0,0,0,300
10,2000,AUS,617,270,17.0,25.0,16.0,58.0,1,583.7,183,0,0,300
11,2000,AUT,92,68,0.0,1.0,2.0,3.0,1,27.6,4,0,0,300
12,2000,AZE,31,32,1.0,0.0,2.0,3.0,1,13.1,3,0,0,300
13,2000,BAH,25,18,1.0,0.0,2.0,3.0,1,35.4,11,0,0,300
14,2000,BAN,5,6,0.0,0.0,0.0,0.0,1,0.6000000000000001,0,0,0,300
15,2000,BAR,18,21,1.0,0.0,0.0,1.0,1,3.7,1,0,0,300
16,2000,BDI,6,5,0.0,0.0,0.0,0.0,1,0.6000000000000001,0,0,0,300
17,2000,BEL,68,64,3.0,2.0,0.0,5.0,1,21.1,7,0,0,300
18,2000,BEN,4,4,0.0,0.0,0.0,0.0,1,0.4,0,0,0,300
19,2000,BER,6,6,0.0,0.0,0.0,0.0,1,0.7000000000000001,0,0,0,300
20,2000,BHU,2,2,0.0,0.0,0.0,0.0,1,0.2,0,0,0,300
21,2000,BIH,9,10,0.0,0.0,0.0,0.0,1,1.1,0,0,0,300
22,2000,BIZ,2,2,0.0,0.0,0.0,0.0,1,0.2,0,0,0,300
23,2000,BLR,139,109,11.0,3.0,3.0,17.0,1,68.10000000000001,22,0,0,300
24,2000,BOL,5,5,0.0,0.0,0.0,0.0,1,0.5,0,0,0,300
25,2000,BOT,7,5,0.0,0.0,0.0,0.0,1,0.9,0,0,0,300
26,2000,BRA,196,96,6.0,6.0,0.0,12.0,1,88.4,48,0,0,300
27,2000,BRN,4,4,0.0,0.0,0.0,0.0,1,0.4,0,0,0,300
28,2000,BRU,2,2,0.0,0.0,0.0,0.0,1,0.2,0,0,0,300
29,2000,BUL,91,85,2.0,6.0,5.0,13.0,1,55.5,13,0,0,300
30,2000,BUR,4,4,0.0,0.0,0.0,0.0,1,0.4,0,0,0,300
31,2000,CAF,3,3,0.0,0.0,0.0,0.0,1,0.30000000000000004,0,0,0,300
32,2000,CAM,4,4,0.0,0.0,0.0,0.0,1,0.4,0,0,0,300
33,2000,CAN,294,175,8.0,3.0,3.0,14.0,1,91.7,31,0,0,300
34,2000,CAY,3,4,0.0,0.0,0.0,0.0,1,0.4,0,0,0,300
35,2000,CGO,5,5,0.0,0.0,0.0,0.0,1,0.5,0,0,0,300
36,2000,CHA,2,3,0.0,0.0,0.0,0.0,1,0.30000000000000004,0,0,0,300
37,2000,CHI,50,28,1.0,0.0,0.0,1.0,1,21.1,17,0,0,300
38,2000,CHN,266,163,14.0,16.0,28.0,58.0,1,294.3,79,0,0,300
39,2000,CIV,14,12,0.0,0.0,0.0,0.0,1,1.8,0,0,0,300
40,2000,CMR,34,14,0.0,0.0,1.0,1.0,1,84.89999999999999,18,0,0,300
41,2000,COD,2,3,0.0,0.0,0.0,0.0,1,0.30000000000000004,0,0,0,300
42,2000,COK,2,2,0.0,0.0,0.0,0.0,1,0.2,0,0,0,300
43,2000,COL,44,45,0.0,0.0,1.0,1.0,1,9.9,1,0,0,300
